timestamp	commit	score	baseline	accuracy	heuristic	f1	status	description
2026-04-04T18:42:14	init	1.0000	0.0000	1.0000	1.0000	1.0000	BASELINE	Auto-generated baseline sweep
2026-04-04T19:16:17	init	0.8833	0.0000	0.8333	1.0000	0.8571	BASELINE	Schema migration: upgraded to should_trigger boolean schema
