timestamp	commit	score	baseline	accuracy	heuristic	f1	status	description
2026-04-04T18:42:02	init	0.0000	0.0000	0.0000	0.0000	0.0000	BASELINE	Auto-generated baseline sweep
2026-04-04T19:20:21	init	0.3500	0.0000	0.5000	0.0000	0.6667	BASELINE	Schema migration: upgraded to should_trigger boolean schema
